,Zone,Exact position,Action 1,Outcome 1,Action 2,Outcome 2,Reward,d_predicted,d_test,Exploration rate
0,3,2.335321852875214,3,-1.0,0,2.335321852875214,0.0,0.0,0.001,1.0
1,5,5.216201305601545,4,-1.0,3,5.216201305601545,0.0,0.9888620376586914,4.777306005621965,0.99
2,5,4.84487610484348,2,-1.0,1,-1.0,0.0,0.24584411084651947,2.321480475975375,0.98
3,5,4.073721180456574,4,-1.0,2,-1.0,0.0,0.38347959518432617,8.112285404332747,0.97
4,7,7.394550119094676,0,7.0,3,-1.0,0.0,-0.025574292987585068,10.732604599009221,0.96
5,3,2.215039229528188,1,-1.0,2,2.215039229528188,9.554333189459468e-41,0.6891855001449585,2.145538325536202,0.95
6,1,1.3884384295268521,1,1.3884384295268521,3,-1.0,0.0,-0.21056893467903137,1.960032578604111,0.94
7,3,2.327988805790758,0,3.0,2,2.327988805790758,0.0,-0.1420852541923523,2.5749785038868924,0.9299999999999999
8,1,1.2857585566793446,1,1.2857585566793446,2,-1.0,0.0,-0.11591561883687973,2.505488140335226,0.9199999999999999
9,1,1.4676224839662484,1,1.4676224839662484,4,-1.0,0.0,-0.1723736971616745,1.9662658629917675,0.9099999999999999
10,3,2.220891542301463,1,-1.0,1,-1.0,0.0,0.16284573078155518,2.3658947584890786,0.8999999999999999
11,1,1.2024239420549636,4,-1.0,4,-1.0,0.0,0.1998058706521988,1.0115510911956855,0.8899999999999999
12,3,3.5871008998176293,2,3.5871008998176293,1,-1.0,0.0,0.15794993937015533,5.447921461911569,0.8799999999999999
13,1,1.1620719444637984,0,1.0,4,-1.0,0.0,0.027146242558956146,0.8632394017078735,0.8699999999999999
14,3,2.66630863802612,4,-1.0,0,3.0,0.0,0.5052548050880432,4.96667763624897,0.8599999999999999
15,3,2.6025509932010387,3,-1.0,1,-1.0,0.0,0.7094635963439941,2.673085836964084,0.8499999999999999
16,1,0.8590505287896648,2,-1.0,4,-1.0,0.0,0.10474418103694916,0.5748121590841733,0.8399999999999999
17,1,1.6620546406804493,3,-1.0,4,-1.0,0.0,0.21905755996704102,0.9110704453727048,0.8299999999999998
18,1,1.890751897198356,1,1.890751897198356,4,-1.0,0.0,0.022878747433423996,1.2531313487135616,0.8199999999999998
